TestType,redis_base,redis_updated,redis_seccomp,STERR_base,STERR_updated,STERR_seccomp
INLINE,0.1162,0.1176,0.1184,0.0002,0.000812404,0.000748331
MBULK,0.116,0.1158,0.1152,0.000894427,0.000663325,0.000374166
SET,0.1222,0.12,0.1202,0.002130728,0.00083666,0.000374166
GET,0.1198,0.1172,0.1174,0.001827567,0.001113553,0.0004
INCR,0.119,0.1174,0.118,0.001140175,0.000927362,0.000316228
LPUSH,0.1252,0.1234,0.124,0.001019804,0.000509902,0.000707107
RPUSH,0.1202,0.1188,0.1194,0.000734847,0.000734847,0.000509902
LPOP,0.125,0.123,0.1238,0.001264911,0.00083666,0.000734847
RPOP,0.1226,0.1224,0.1238,0.0004,0.000678233,0.000969536
SADD,0.1184,0.1184,0.119,0.0006,0.000509902,0.001048809
HSET,0.118,0.1186,0.12,0.000547723,0.0004,0.000632456
SPOP,0.1204,0.1198,0.1198,0.000979796,0.0008,0.000916515
ZADD,0.1194,0.119,0.1202,0.001122497,0.000316228,0.000489898
ZPOPMIN,0.1172,0.1172,0.117,0.001019804,0.000583095,0.000447214
LPUSH (needed to benchmark LRANGE),0.1248,0.1256,0.1236,0.000734847,0.000748331,0.000509902
LRANGE_100,0.4232,0.412,0.4146,0.003916631,0.001224745,0.003043025
LRANGE_300,0.827,0.8138,0.8086,0.002,0.004892852,0.00429651
LRANGE_500,1.1948,1.1706,1.189,0.007806408,0.012143311,0.009555103
LRANGE_600,1.2704,1.2604,1.2538,0.008078366,0.013930542,0.008151074
MSET,0.1258,0.1244,0.1246,0.000663325,0.001208305,0.0016
XADD,0.1274,0.1252,0.126,0.0004,0.000374166,0.000447214
