TestType,redis_base,redis_updated,redis_seccomp,STERR_base,STERR_updated,STERR_seccomp
INLINE,102639.432,102183.098,102775.966,205.0513951,576.7875208,853.5206396
MBULK,100427.838,101197.176,102471.694,635.4747318,535.357466,465.9689044
SET,98923.6,101224.734,102402.686,1574.117286,558.9886549,338.9287699
GET,98112.748,100294.358,101490.64,1275.212714,768.1884672,351.5184343
INCR,99684.024,101684.334,102865.15,752.1372376,774.8108327,445.6504962
LPUSH,100288.508,102147.474,101953.364,770.8640026,249.3411456,510.6569064
RPUSH,100423.058,101819.922,103034.096,481.2561072,675.186373,487.3069336
LPOP,100162.14,101965.906,102011.988,1079.051545,562.9792752,409.0152914
RPOP,101815.02,102022.17,101858.288,264.6820535,465.0530002,729.8625482
SADD,100506.214,101085.258,101807.338,379.5369468,379.2680153,980.0122657
HSET,103419.212,103634.648,103493.722,339.0468573,297.5438416,659.7361858
SPOP,96911.228,97956.42,98772.21,689.5271883,481.0417454,801.1432538
ZADD,102822.992,103857.486,103654.088,829.5263802,344.9808492,557.3146259
ZPOPMIN,99984.766,100935.85,102365.67,714.5962237,286.7557417,490.9308791
LPUSH (needed to benchmark LRANGE),100603.108,100639.682,102078.558,490.8189973,496.0993058,407.5441939
LRANGE_100,23967.536,24617.72,24440.222,238.8551825,68.47286798,180.9698084
LRANGE_300,11984.156,12151.538,12227.224,28.62793052,64.08831371,59.95955308
LRANGE_500,8223.74,8392.502,8237.744,58.3123823,87.15998281,65.74150391
LRANGE_600,7765.376,7819.448,7845.856,48.24782696,89.03742322,47.44219204
MSET,104640.7,105091.028,106786.986,288.0720526,688.4284445,729.1658731
XADD,100747.82,102126.16,102238.8,240.662039,224.5948326,392.290194
