Syscall,Syscall,Score,RedisDynamicRetained,RedisDynamicScore,NginxDynamicRetained,NginxDynamicScore,NginxStaticFinalRetained,NginxStaticFinalScore,RedisStaticFinalRetained,RedisStaticFinalScore
read,0,0.3,1,0.3,1,0.3,1,0.3,1,0.3
write,1,0.3,1,0.3,1,0.3,1,0.3,1,0.3
open,2,1,1,1,1,1,1,1,1,1
close,3,0.3,1,0.3,1,0.3,1,0.3,1,0.3
stat,4,0,1,0,1,0,1,0,1,0
fstat,5,0,1,0,1,0,1,0,1,0
lstat,6,0,1,0,1,0,1,0,1,0
poll,7,0.3,1,0.3,1,0.3,1,0.3,1,0.3
lseek,8,0.3,1,0.3,1,0.3,1,0.3,1,0.3
mmap,9,0.3,1,0.3,1,0.3,1,0.3,1,0.3
mprotect,10,0.3,1,0.3,1,0.3,1,0.3,1,0.3
munmap,11,0.3,1,0.3,0,0,1,0.3,1,0.3
brk,12,0.6,1,0.6,1,0.6,1,0.6,1,0.6
rt_sigaction,13,0.3,1,0.3,0,0,1,0.3,1,0.3
rt_sigprocmask,14,0.3,1,0.3,1,0.3,1,0.3,1,0.3
rt_sigreturn,15,0.3,1,0.3,1,0.3,1,0.3,1,0.3
ioctl,16,0.6,1,0.6,1,0.6,1,0.6,1,0.6
pread64,17,0.3,,0,1,0.3,1,0.3,1,0.3
pwrite64,18,0.3,,0,,0,1,0.3,0,0
readv,19,0.3,1,0.3,1,0.3,1,0.3,1,0.3
writev,20,0.3,1,0.3,1,0.3,1,0.3,1,0.3
access,21,0,,0,1,0,1,0,1,0
pipe,22,0,,0,1,0,1,0,0,0
select,23,0.3,,0,1,0.3,1,0.3,0,0
sched_yield,24,0.3,1,0.3,1,0.3,1,0.3,1,0.3
mremap,25,0.3,1,0.3,1,0.3,1,0.3,1,0.3
msync,26,0.3,,0,,0,0,0,0,0
dup,32,0.3,1,0.3,1,0.3,1,0.3,1,0.3
dup2,33,0.3,1,0.3,1,0.3,1,0.3,1,0.3
pause,34,0.3,,0,1,0.3,1,0.3,0,0
nanosleep,35,0.3,1,0.3,1,0.3,1,0.3,1,0.3
getitimer,36,0,1,0,0,0,0,0,1,0
setitimer,38,0.3,1,0.3,1,0.3,1,0.3,1,0.3
getpid,39,0,1,0,1,0,1,0,1,0
sendfile,40,0.3,,0,1,0.3,1,0.3,0,0
socket,41,0.6,1,0.6,1,0.6,1,0.6,1,0.6
accept,43,0.6,,0,0,0,1,0.6,0,0
bind,49,0.6,1,0.6,1,0.6,1,0.6,1,0.6
clone,56,0.6,1,0.6,1,0.6,1,0.6,1,0.6
fork,57,0.6,1,0.6,1,0.6,1,0.6,1,0.6
vfork,58,0.6,1,0.6,1,0.6,1,0.6,1,0.6
execve,59,1,1,1,1,1,1,1,1,1
exit,60,0.3,1,0.3,,0,1,0.3,1,0.3
wait4,61,0.3,1,0.3,1,0.3,1,0.3,1,0.3
kill,62,0.6,1,0.6,1,0.6,1,0.6,1,0.6
uname,63,0,1,0,1,0,1,0,1,0
fcntl,72,0.3,1,0.3,1,0.3,1,0.3,1,0.3
flock,73,0.6,,0,,0,0,0,1,0.6
fsync,74,0.3,1,0.3,1,0.3,1,0.3,1,0.3
fdatasync,75,0,1,0,1,0,1,0,1,0
truncate,76,0.6,1,0.6,0,0,0,0,1,0.6
ftruncate,77,0.6,1,0.6,1,0.6,1,0.6,1,0.6
getdents,78,0,1,0,,0,0,0,1,0
getcwd,79,0,1,0,1,0,1,0,1,0
chdir,80,0.3,1,0.3,1,0.3,1,0.3,1,0.3
fchdir,81,0.3,1,0.3,,0,0,0,1,0.3
rename,82,1,1,1,,0,1,1,1,1
mkdir,83,0.6,1,0.6,1,0.6,1,0.6,1,0.6
rmdir,84,0.6,1,0.6,0,0,0,0,1,0.6
creat,85,0.6,1,0.6,,0,0,0,1,0.6
link,86,1,1,1,1,1,1,1,1,1
unlink,87,1,1,1,1,1,1,1,1,1
symlink,88,1,,0,,0,0,0,0,0
readlink,89,0,1,0,1,0,1,0,1,0
chmod,90,1,1,1,1,1,1,1,1,1
fchmod,91,1,1,1,,0,0,0,1,1
chown,92,1,,0,1,1,1,1,0,0
fchown,93,1,,0,,0,0,0,0,0
lchown,94,1,,0,,0,0,0,0,0
umask,95,0.3,1,0.3,1,0.3,1,0.3,1,0.3
gettimeofday,96,0,,0,1,0,1,0,1,0
getrlimit,97,0,1,0,1,0,1,0,1,0
getrusage,98,0,,0,1,0,1,0,1,0
sysinfo,99,0,1,0,1,0,1,0,1,0
times,100,0,,0,,0,0,0,0,0
ptrace,101,0.3,,0,,0,0,0,0,0
getuid,102,0,1,0,1,0,1,0,1,0
syslog,103,0.6,,0,,0,0,0,0,0
getgid,104,0,1,0,1,0,1,0,1,0
setuid,105,1,1,1,1,1,1,1,1,1
setgid,106,1,1,1,1,1,1,1,1,1
geteuid,107,0,1,0,1,0,1,0,1,0
getegid,108,0,1,0,1,0,1,0,1,0
setpgid,109,0.3,1,0.3,,0,0,0,1,0.3
getppid,110,0,,0,1,0,1,0,0,0
getpgrp,111,0,,0,,0,0,0,0,0
setsid,112,0.3,1,0.3,1,0.3,1,0.3,1,0.3
setreuid,113,1,1,1,,0,1,1,1,1
setregid,114,1,1,1,,0,1,1,1,1
getgroups,115,0,,0,,0,1,0,0,0
setgroups,116,1,,0,1,1,1,1,0,0
setresuid,117,1,,0,,0,1,1,0,0
getresuid,118,0,,0,,0,0,0,0,0
setresgid,119,1,,0,,0,1,1,0,0
getresgid,120,0,,0,,0,0,0,0,0
getpgid,121,0,,0,,0,0,0,0,0
setfsuid,122,1,,0,,0,0,0,0,0
setfsgid,123,1,,0,,0,0,0,0,0
getsid,124,0,,0,,0,0,0,0,0
capget,125,0,,0,,0,0,0,0,0
capset,126,0.3,,0,,0,1,0.3,0,0
rt_sigpending,127,0.3,,0,,0,0,0,0,0
rt_sigtimedwait,128,0.3,1,0.3,1,0.3,1,0.3,1,0.3
rt_sigqueueinfo,129,0.3,1,0.3,1,0.3,1,0.3,1,0.3
rt_sigsuspend,130,0.3,,0,1,0.3,1,0.3,0,0
utime,132,0.3,,0,1,0.3,1,0.3,0,0
mknod,133,1,1,1,,0,0,0,1,1
uselib,134,0.3,,0,,0,0,0,0,0
personality,135,0.3,,0,,0,0,0,0,0
ustat,136,0,,0,,0,0,0,0,0
statfs,137,0,,0,1,0,1,0,1,0
fstatfs,138,0,,0,1,0,1,0,0,0
sysfs,139,0,,0,,0,0,0,0,0
getpriority,140,0,1,0,1,0,1,0,1,0
setpriority,141,0.6,1,0.6,,0,1,0.6,1,0.6
sched_setparam,142,0.6,1,0.6,1,0.6,1,0.6,1,0.6
sched_getparam,143,0,1,0,1,0,1,0,1,0
sched_setscheduler,144,0.6,1,0.6,1,0.6,1,0.6,1,0.6
sched_getscheduler,145,0,1,0,,0,1,0,1,0
sched_get_priority_max,146,0,,0,,0,1,0,1,0
sched_get_priority_min,147,0,,0,,0,1,0,1,0
sched_rr_get_interval,148,0,,0,,0,0,0,0,0
mlock,149,0.6,,0,,0,0,0,0,0
munlock,150,0.3,,0,,0,0,0,0,0
mlockall,151,0.6,,0,,0,0,0,0,0
munlockall,152,0.3,,0,,0,0,0,0,0
vhangup,153,0.6,,0,,0,0,0,0,0
modify_ldt,154,0.6,,0,,0,0,0,0,0
_sysctl,156,0.6,,0,,0,0,0,0,0
prctl,157,0.3,1,0.3,1,0.3,1,0.3,1,0.3
adjtimex,159,0.6,1,0.6,1,0.6,1,0.6,1,0.6
setrlimit,160,0.6,1,0.6,1,0.6,1,0.6,1,0.6
chroot,161,0.3,,0,,0,0,0,0,0
sync,162,0,,0,,0,0,0,0,0
acct,163,0,,0,,0,0,0,0,0
settimeofday,164,0.6,1,0.6,1,0.6,1,0.6,1,0.6
mount,165,1,,0,,0,0,0,0,0
umount2,166,0.6,,0,,0,0,0,0,0
swapon,167,0.6,,0,,0,0,0,0,0
swapoff,168,0.6,,0,,0,0,0,0,0
reboot,169,0.6,,0,,0,0,0,0,0
sethostname,170,0.6,,0,,0,0,0,0,0
setdomainname,171,0.6,,0,,0,0,0,0,0
iopl,172,0.6,,0,,0,0,0,0,0
ioperm,173,0.6,,0,,0,0,0,0,0
create_module,174,0,,0,,0,0,0,0,0
init_module,175,1,,0,,0,0,0,0,0
delete_module,176,0.6,,0,,0,0,0,0,0
get_kernel_syms,177,0,,0,,0,0,0,0,0
query_module,178,0,,0,,0,0,0,0,0
quotactl,179,0.6,,0,,0,0,0,0,0
nfsservctl,180,0.6,,0,,0,0,0,0,0
getpmsg,181,0,,0,,0,0,0,0,0
putpmsg,182,0.3,,0,,0,0,0,0,0
afs_syscall,183,0.6,,0,,0,0,0,0,0
time,201,0,,0,,0,1,0,1,0
getdents64,217,0,1,0,,0,1,0,1,0
openat,257,1,,0,1,1,1,1,1,1
mkdirat,258,0.6,,0,,0,0,0,0,0
mknodat,259,1,,0,,0,0,0,0,0
fchownat,260,1,,0,1,1,1,1,0,0
unlinkat,263,1,,0,1,1,1,1,0,0
renameat,264,1,1,1,1,1,1,1,1,1
linkat,265,1,1,1,1,1,1,1,1,1
symlinkat,266,1,,0,,0,0,0,0,0
readlinkat,267,0,1,0,1,0,1,0,1,0
fchmodat,268,1,1,1,1,1,1,1,1,1
faccessat,269,0,1,0,1,0,1,0,1,0
dup3,292,0.3,1,0.3,1,0.3,1,0.3,1,0.3
pipe2,293,0,1,0,1,0,1,0,1,0
renameat2,316,1,,0,,0,0,0,0,0
execveat,322,1,,0,,0,0,0,0,0
mlock2,325,0.6,,0,,0,0,0,0,0
openat2,437,1,,0,,0,0,0,0,0
faccessat2,439,0,1,0,,0,1,0,1,0
fchmodat2,452,1,1,1,,0,0,0,1,1
